Feature,Importance
Dependents,0.6441598761588385
Credit_History,0.13817597220792188
Loan_Amount_Log,0.524358973402416
Gender_Female,0.9629802126453595
Gender_Male,0.3082466299074471
Married_No,0.833472321139022
Married_Yes,0.701625559880143
Education_Graduate,0.5868951081734028
Education_Not Graduate,0.9888073165716867
Self_Employed_No,0.6858307890101756
Self_Employed_Yes,0.09701175317009347
Property_Area_Rural,0.29738928992984115
Property_Area_Semiurban,0.7519395783476341
Property_Area_Urban,0.3056936819841204
Total_Income,0.6129304541186404
Total_Income_Log,0.8983848728103881
EMI,0.7371547641117755
Income_After_EMI,0.5216064576694793
