Feature,Importance
Dependents,0.8691297240354257
Applicant_Income,0.17014747242493344
Coapplicant_Income,0.46560714587277063
Loan_Amount,0.1291029157366611
Loan_Amount_Term,0.6411130640088755
Credit_History,0.3670413436621178
Loan_Amount_Log,0.29087023322949046
Gender_Female,0.049032894180406794
Gender_Male,0.676335307797584
Married_No,0.6423996725560176
Married_Yes,0.06064281715263076
Education_Graduate,0.4803162686183713
Education_Not Graduate,0.8017400456044931
Self_Employed_No,0.6235883583113032
Self_Employed_Yes,0.11784615496067075
Property_Area_Rural,0.5317626626248624
Property_Area_Semiurban,0.868113022610016
Property_Area_Urban,0.8150186533592999
