Feature,Importance
Dependents,0.4237924281488832
Applicant_Income,0.8151727810581972
Coapplicant_Income,0.6844205360091495
Loan_Amount,0.6516948753829015
Loan_Amount_Term,0.019931200645751268
Credit_History,0.07353928535554699
Loan_Amount_Log,0.6927638977634494
Gender_Female,0.1816750639804009
Gender_Male,0.3650823152208501
Married_No,0.9735314708296939
Married_Yes,0.9293914608108602
Education_Graduate,0.1851096947254145
Education_Not Graduate,0.3791077707825826
Self_Employed_No,0.692040821639486
Self_Employed_Yes,0.9116663779374328
Property_Area_Rural,0.09188113107047102
Property_Area_Semiurban,0.6037570627680751
Property_Area_Urban,0.9432618780037523
